Accession	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	Description
NM_152855	46	646	402	975	687	896	821	119	329	918	Immunoglobulin lambda-like polypeptide 1 precursor (Immunoglobulin- related 14.1 protein) (Immunoglobulin omega polypeptide) (Lambda 5) (CD179b antigen). [Source:Uniprot/SWISSPROT;Acc:P15814]
NM_080839	395	45	911	179	356	649	474	848	814	262	Gamma-glutamyltransferase-like protein 4. [Source:Uniprot/SWISSPROT;Acc:Q14390]
NM_001001479	554	249	509	9	209	392	356	829	103	356	solute carrier family 35, member E4 [Source:RefSeq_peptide;Acc:NP_001001479]
NM_153379	411	167	540	806	451	886	861	425	793	419	Kremen protein 1 precursor (Kringle-containing protein marking the eye and the nose) (Dickkopf receptor). [Source:Uniprot/SWISSPROT;Acc:Q96MU8]
NM_001033024	110	550	527	701	372	778	815	897	690	834	F-box only protein 7. [Source:Uniprot/SWISSPROT;Acc:Q9Y3I1]
NM_145298	404	485	974	483	26	691	792	766	819	836	DNA dC->dU editing enzyme APOBEC-3G (EC 3.5.4.-) (APOBEC-related cytidine deaminase) (ARCD) (APOBEC-related protein) (ARP-9) (CEM15) (CEM-15). [Source:Uniprot/SWISSPROT;Acc:Q9HC16]
NM_006386	474	328	446	608	406	146	61	802	949	414	Probable ATP-dependent helicase DDX17 (EC 3.6.1.-) (DEAD-box protein 17) (RNA-dependent helicase p72) (DEAD-box protein p72). [Source:Uniprot/SWISSPROT;Acc:Q92841]
NM_003753	770	549	864	874	753	575	670	383	703	514	Eukaryotic translation initiation factor 3 subunit 7 (eIF-3 zeta) (eIF3 p66) (eIF3d). [Source:Uniprot/SWISSPROT;Acc:O15371]
NM_007326	827	983	734	807	155	263	415	228	401	300	NADH-cytochrome b5 reductase (EC 1.6.2.2) (B5R) (Diaphorase-1) (Cytochrome b5 reductase 3) [Contains: NADH-cytochrome b5 reductase membrane bound form; NADH-cytochrome b5 reductase soluble form]. [Source:Uniprot/SWISSPROT;Acc:P00387]
NM_002490	88	550	345	941	125	400	374	734	283	824	NADH-ubiquinone oxidoreductase B14 subunit (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-B14) (CI-B14). [Source:Uniprot/SWISSPROT;Acc:P56556]
NM_000362	903	261	807	597	577	181	443	808	639	744	Metalloproteinase inhibitor 3 precursor (TIMP-3) (Tissue inhibitor of metalloproteinases-3) (MIG-5 protein). [Source:Uniprot/SWISSPROT;Acc:P35625]
NM_152299	20	751	377	65	743	655	64	941	871	285	kleisin beta isoform 2 [Source:RefSeq_peptide;Acc:NP_689512]
NM_022720	286	492	925	937	65	401	88	872	700	42	DGCR8 protein (DiGeorge syndrome critical region 8). [Source:Uniprot/SWISSPROT;Acc:Q8WYQ5]
NM_001008696	947	707	704	271	238	807	766	172	750	193	THAP domain protein 7. [Source:Uniprot/SWISSPROT;Acc:Q9BT49]
NM_000496	143	518	47	16	365	256	153	114	698	775	Beta crystallin B2 (BP). [Source:Uniprot/SWISSPROT;Acc:P43320]
NM_203477	869	685	229	245	872	621	14	817	257	510	similar to RPL23AP7 protein [Source:RefSeq_peptide;Acc:NP_982307]
NM_145734	177	949	667	864	365	656	680	580	480	951	Neuronal-specific septin-3. [Source:Uniprot/SWISSPROT;Acc:Q9UH03]
NM_001887	606	183	77	266	346	876	348	139	468	924	Beta crystallin B1. [Source:Uniprot/SWISSPROT;Acc:P53674]
NM_030881	85	928	166	408	545	867	253	881	604	204	Probable ATP-dependent helicase DDX17 (EC 3.6.1.-) (DEAD-box protein 17) (RNA-dependent helicase p72) (DEAD-box protein p72). [Source:Uniprot/SWISSPROT;Acc:Q92841]
NM_001003684	834	959	125	742	835	364	930	534	30	472	ubiquinol-cytochrome c reductase complex 7.2kDa protein isoform b [Source:RefSeq_peptide;Acc:NP_001003684]
NM_032019	297	31	725	885	370	460	759	51	412	701	Histone deacetylase 10 (HD10). [Source:Uniprot/SWISSPROT;Acc:Q969S8]
NM_153684	971	482	285	472	802	587	78	73	172	654	Nucleoporin 50 kDa (Nuclear pore-associated protein 60 kDa-like). [Source:Uniprot/SWISSPROT;Acc:Q9UKX7]
NM_145642	276	484	302	16	397	110	627	930	476	926	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_015124	468	198	328	331	603	63	978	472	411	417	death-inducing-protein [Source:RefSeq_peptide;Acc:NP_055939]
NM_014248	175	338	729	840	390	384	95	514	205	984	RING-box protein 1 (Rbx1) (Regulator of cullins 1) (RING finger protein 75) (ZYP protein). [Source:Uniprot/SWISSPROT;Acc:P62877]
NM_017424	516	530	506	487	426	637	377	153	0	946	Cat eye syndrome critical region protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9NZK5]
NM_181827	107	765	454	626	214	174	517	137	892	586	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_016272	707	9	788	851	589	709	521	546	647	636	Tob2 protein (Transducer of erbB-2 2). [Source:Uniprot/SWISSPROT;Acc:Q14106]
NM_002409	691	446	964	885	730	782	130	291	523	184	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N- acetylglucosaminyltransferase III) (N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III). [Source:Uniprot/SWISSPROT;Acc:Q09327]
NM_007310	132	988	334	15	932	447	178	453	832	748	Catechol O-methyltransferase (EC 2.1.1.6). [Source:Uniprot/SWISSPROT;Acc:P21964]
NM_006932	339	558	400	441	925	244	687	502	110	175	Smoothelin. [Source:Uniprot/SWISSPROT;Acc:P53814]
NM_016733	654	686	218	127	213	30	317	847	779	820	LIM domain kinase 2 (EC 2.7.1.-) (LIMK-2). [Source:Uniprot/SWISSPROT;Acc:P53671]
NM_000026	461	936	751	773	260	783	817	739	906	94	Adenylosuccinate lyase (EC 4.3.2.2) (Adenylosuccinase) (ASL) (ASASE). [Source:Uniprot/SWISSPROT;Acc:P30566]
NM_145637	508	685	335	40	877	259	670	548	742	703	Apolipoprotein-L2 (Apolipoprotein L-II) (ApoL-II). [Source:Uniprot/SWISSPROT;Acc:Q9BQE5]
NM_022766	606	783	375	402	883	336	57	848	520	161	Ceramide kinase (EC 2.7.1.138) (Acylsphingosine kinase) (hCERK) (Lipid kinase 4) (LK4). [Source:Uniprot/SWISSPROT;Acc:Q8TCT0]
NM_014351	398	303	952	783	831	941	735	814	189	747	Sulfotransferase 4A1 (EC 2.8.2.-) (Brain sulfotransferase-like protein) (hBR-STL) (hBR-STL-1) (Nervous system sulfotransferase) (NST). [Source:Uniprot/SWISSPROT;Acc:Q9BR01]
NM_007061	964	311	765	959	79	997	766	332	196	886	Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55). [Source:Uniprot/SWISSPROT;Acc:Q00587]
NM_002405	563	3	630	339	653	247	765	81	727	893	Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase). [Source:Uniprot/SWISSPROT;Acc:O00587]
NM_005036	924	217	752	690	398	768	487	399	288	766	Peroxisome proliferator activated receptor alpha (PPAR-alpha). [Source:Uniprot/SWISSPROT;Acc:Q07869]
NM_013373	321	898	324	437	850	79	297	502	97	810	Zinc finger DHHC domain-containing protein 8 precursor (Zinc finger protein 378). [Source:Uniprot/SWISSPROT;Acc:Q9ULC8]
NM_002688	294	132	778	759	353	579	528	349	728	23	Septin-5 (Peanut-like protein 1) (Cell division control related protein 1) (CDCREL-1). [Source:Uniprot/SWISSPROT;Acc:Q99719]
NM_173467	485	628	396	666	139	336	980	595	865	958	Malonyl CoA-acyl carrier protein transacylase, mitochondrial precursor (EC 2.3.1.39) (MCT) (Mitochondrial malonyltransferase). [Source:Uniprot/SWISSPROT;Acc:Q8IVS2]
NM_001018052	733	455	20	23	738	463	43	458	997	784	DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide (EC 2.7.7.6) (RPC8). [Source:Uniprot/SWISSPROT;Acc:Q9Y535]
NM_152842	436	253	539	816	50	239	229	396	572	245	Hermansky-Pudlak syndrome 4 protein (Light-ear protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NQG7]
NM_001003828	415	482	626	419	83	315	391	5	664	620	Beta-parvin (Affixin). [Source:Uniprot/SWISSPROT;Acc:Q9HBI1]
NM_206953	141	339	160	851	622	362	742	36	652	417	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]
NM_178136	466	228	877	626	285	123	71	615	990	840	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46). [Source:Uniprot/SWISSPROT;Acc:Q9BY77]
NM_012407	887	875	252	432	475	540	414	127	866	863	PRKCA-binding protein (Protein kinase C-alpha binding protein) (Protein interacting with C kinase 1). [Source:Uniprot/SWISSPROT;Acc:Q9NRD5]
NM_148674	194	857	525	166	946	82	996	558	650	458	Structural maintenance of chromosome 1-like 2 protein (SMC1beta protein). [Source:Uniprot/SWISSPROT;Acc:Q8NDV3]
NM_014323	18	183	274	376	46	300	668	896	565	964	Zinc finger protein 278 (POZ-, AT hook-, and zinc finger-containing protein) (Zinc finger sarcoma gene protein) (BTB-POZ domain zinc finger transcription factor) (Protein kinase A RI-alpha subunit- associated protein) (Zinc finger and BTB domain containin [Source:Uniprot/SWISSPROT;Acc:Q9HBE1]
NM_003614	651	116	108	587	444	504	390	171	100	222	Galanin receptor type 3 (GAL3-R) (GALR3). [Source:Uniprot/SWISSPROT;Acc:O60755]
NM_015705	456	485	97	977	255	972	745	430	542	663	RUN and TBC1 domain containing 3 [Source:RefSeq_peptide;Acc:NP_056520]
NM_014941	561	689	515	889	273	924	102	53	606	632	MORC family CW-type zinc finger 2 (Zinc finger CW-type coiled-coil domain protein 1). [Source:Uniprot/SWISSPROT;Acc:Q9Y6X9]
NM_152221	287	272	509	585	399	137	980	985	757	399	Casein kinase I, epsilon isoform (EC 2.7.1.-) (CKI-epsilon) (CKIe). [Source:Uniprot/SWISSPROT;Acc:P49674]
NM_133455	131	874	586	853	681	306	603	193	494	336	EMI domain containing protein 1 precursor (Emu1 protein) (Emilin and multimerin-domain containing protein 1). [Source:Uniprot/SWISSPROT;Acc:Q96A84]
NM_152511	190	134	352	344	545	574	593	726	731	69	Dual specificity protein phosphatase 18 (EC 3.1.3.48) (EC 3.1.3.16) (Low molecular weight dual specificity phosphatase 20). [Source:Uniprot/SWISSPROT;Acc:Q8NEJ0]
NM_013378	796	486	23	430	142	764	457	683	627	820	Pre-B lymphocyte protein 3 precursor (VpreB3 protein) (N27C7-2). [Source:Uniprot/SWISSPROT;Acc:Q9UKI3]
NM_021574	996	215	781	517	208	352	35	826	870	173	Breakpoint cluster region protein (EC 2.7.1.-). [Source:Uniprot/SWISSPROT;Acc:P11274]
NM_153615	412	396	403	835	682	696	544	183	649	793	Ral-GDS related protein (hRGR). [Source:Uniprot/SWISSPROT;Acc:Q8IZJ4]
NM_001008697	156	938	719	270	591	234	407	329	511	794	Tuftelin-interacting protein 11. [Source:Uniprot/SWISSPROT;Acc:Q9UBB9]
NM_014876	937	608	558	519	604	737	809	777	30	177	Josephin-1. [Source:Uniprot/SWISSPROT;Acc:Q15040]
NM_002882	389	164	997	361	174	36	992	671	977	570	Ran-specific GTPase-activating protein (Ran binding protein 1) (RanBP1). [Source:Uniprot/SWISSPROT;Acc:P43487]
NM_152253	135	290	125	656	636	450	841	388	444	110	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_001017526	318	441	241	605	925	115	435	280	406	326	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_006115	317	654	526	321	30	141	28	412	504	855	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]
NM_080740	342	491	27	541	924	625	589	149	651	501	Suppressor of hairy wing homolog 1 (3'OY11.1). [Source:Uniprot/SWISSPROT;Acc:P59817]
NM_145862	676	92	170	4	650	723	608	715	389	46	Serine/threonine-protein kinase Chk2 (EC 2.7.1.37) (Cds1). [Source:Uniprot/SWISSPROT;Acc:O96017]
NM_181834	546	605	329	208	675	707	572	799	21	46	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_002473	221	488	167	611	581	24	364	655	401	147	Myosin-9 (Myosin heavy chain, nonmuscle IIa) (Nonmuscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA) (Cellular myosin heavy chain, type A) (Nonmuscle myosin heavy chain-A) (NMMHC-A). [Source:Uniprot/SWISSPROT;Acc:P35579]
NM_152840	933	90	803	419	888	268	59	532	153	935	Hermansky-Pudlak syndrome 4 protein (Light-ear protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NQG7]
NM_014250	866	92	310	627	280	446	264	292	968	558	High-mobility group protein 2-like 1 (HMGBCG protein). [Source:Uniprot/SWISSPROT;Acc:Q9UGU5]
NM_001002880	739	426	929	466	13	501	337	374	791	961	Chibby protein (PKD2 interactor, Golgi and endoplasmic reticulum associated 1) (PIGEA-14) (Cytosolic leucine-rich protein) (HRIHFB2025). [Source:Uniprot/SWISSPROT;Acc:Q9Y3M2]
NM_005207	677	879	631	576	810	391	824	425	143	255	Crk-like protein. [Source:Uniprot/SWISSPROT;Acc:P46109]
NM_138632	134	301	543	631	307	810	165	634	751	949	TRIO and F-actin binding protein (Protein Tara) (Trio-associated repeat on actin). [Source:Uniprot/SWISSPROT;Acc:Q9H2D6]
NM_001001560	841	793	302	447	191	342	470	636	114	382	ADP-ribosylation factor binding protein GGA1 (Golgi-localized, gamma ear-containing, ARF-binding protein 1) (Gamma-adaptin-related protein 1). [Source:Uniprot/SWISSPROT;Acc:Q9UJY5]
NM_024681	81	164	803	439	717	288	962	461	863	73	potassium channel tetramerisation domain containing 17 [Source:RefSeq_peptide;Acc:NP_078957]
NM_005137	358	775	160	240	382	32	679	977	761	690	Integral membrane protein DGCR2/IDD precursor. [Source:Uniprot/SWISSPROT;Acc:P98153]
NM_019601	626	462	96	39	358	410	356	327	160	402	sushi domain containing 2 [Source:RefSeq_peptide;Acc:NP_062547]
NM_031481	12	996	641	291	946	573	198	461	805	242	Mitochondrial glutamate carrier 2 (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18). [Source:Uniprot/SWISSPROT;Acc:Q9H1K4]
NM_016657	420	215	942	627	866	91	623	822	100	360	ER lumen protein retaining receptor 3 (KDEL receptor 3) (KDEL endoplasmic reticulum protein retention receptor 3). [Source:Uniprot/SWISSPROT;Acc:O43731]
NM_014422	626	191	409	517	920	985	90	22	551	284	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.56). [Source:Uniprot/SWISSPROT;Acc:Q15735]
NM_014509	738	86	414	319	411	777	56	687	109	235	Serine hydrolase-like protein (EC 3.1.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9H4I8]
NM_001429	166	502	442	263	914	7	923	95	789	681	E1A-associated protein p300 (EC 2.3.1.48). [Source:Uniprot/SWISSPROT;Acc:Q09472]
NM_001696	774	596	100	370	652	709	782	477	208	398	Vacuolar ATP synthase subunit E (EC 3.6.3.14) (V-ATPase E subunit) (Vacuolar proton pump E subunit) (V-ATPase 31 kDa subunit) (P31). [Source:Uniprot/SWISSPROT;Acc:P36543]
NM_153051	686	736	887	884	983	612	861	461	860	841	Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Zinc finger FYVE domain containing protein 10). [Source:Uniprot/SWISSPROT;Acc:Q13615]
NM_017414	518	657	153	165	405	34	72	764	32	400	Ubl carboxyl-terminal hydrolase 18 (EC 3.1.2.-) (Ubl thiolesterase 18) (ISG15-specific processing protease) (43 kDa ISG15-specific protease) (hUBP43). [Source:Uniprot/SWISSPROT;Acc:Q9UMW8]
NM_198440	685	449	437	728	301	117	939	538	431	518	derlin-3 protein isoform a [Source:RefSeq_peptide;Acc:NP_940842]
NM_014346	957	56	451	862	324	898	664	291	990	590	TBC1 domain family member 22A. [Source:Uniprot/SWISSPROT;Acc:Q8WUA7]
NM_001894	872	753	524	681	158	310	320	749	0	404	Casein kinase I, epsilon isoform (EC 2.7.1.-) (CKI-epsilon) (CKIe). [Source:Uniprot/SWISSPROT;Acc:P49674]
NM_006605	923	63	394	119	355	205	133	975	884	410	Ret finger protein-like 2 (RING finger protein 79). [Source:Uniprot/SWISSPROT;Acc:O75678]
NM_022719	896	265	111	922	319	494	797	136	682	928	DGCR14 protein (DiGeorge syndrome critical region 14) (ES2 protein). [Source:Uniprot/SWISSPROT;Acc:Q96DF8]
NM_016498	333	816	382	796	257	167	850	175	727	38	Mitochondrial 18 kDa protein (MTP18). [Source:Uniprot/SWISSPROT;Acc:Q9UDX5]
NM_007081	59	89	359	43	285	843	326	883	277	146	Rab-like protein 2B. [Source:Uniprot/SWISSPROT;Acc:Q9UNT1]
NM_152878	132	639	491	34	976	330	543	124	84	513	Transcription factor MafF (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F) (U-Maf). [Source:Uniprot/SWISSPROT;Acc:Q9ULX9]
NM_000675	545	252	953	199	464	998	878	880	182	153	Adenosine A2a receptor. [Source:Uniprot/SWISSPROT;Acc:P29274]
NM_002608	697	936	393	638	136	209	5	926	680	24	Platelet-derived growth factor B chain precursor (PDGF B-chain) (Platelet-derived growth factor beta polypeptide) (PDGF-2) (c-sis) (Becaplermin). [Source:Uniprot/SWISSPROT;Acc:P01127]
NM_005008	199	489	362	442	807	295	389	17	157	898	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) ([U4/U6.U5] tri-snRNP 15.5 kDa protein) (OTK27). [Source:Uniprot/SWISSPROT;Acc:P55769]
NM_002883	994	849	40	148	444	203	973	47	580	493	Ran GTPase-activating protein 1. [Source:Uniprot/SWISSPROT;Acc:P46060]
NM_001004426	389	792	833	886	928	525	78	333	481	833	85 kDa calcium-independent phospholipase A2 (EC 3.1.1.4) (iPLA2) (CaI- PLA2) (Group VI phospholipase A2) (GVI PLA2). [Source:Uniprot/SWISSPROT;Acc:O60733]
NM_199127	277	296	142	517	281	946	720	676	718	129	Gamma-glutamyltransferase-like protein 4. [Source:Uniprot/SWISSPROT;Acc:Q14390]
NM_152247	976	619	369	870	238	657	933	700	545	284	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_012264	588	583	984	798	268	734	369	883	42	97	Putative MAP kinase-activating protein C22orf5 (Putative MAPK- activating protein FM08). [Source:Uniprot/SWISSPROT;Acc:Q9Y519]
NM_007128	926	182	509	774	135	400	628	181	384	960	Immunoglobulin iota chain precursor (V(pre)B protein) (VpreB protein) (CD179a antigen). [Source:Uniprot/SWISSPROT;Acc:P12018]
NM_022044	864	215	598	747	82	210	489	978	77	967	Stromal cell-derived factor 2-like protein 1 precursor (SDF2-like protein 1) (PWP1-interacting protein 8). [Source:Uniprot/SWISSPROT;Acc:Q9HCN8]
NM_001953	598	707	155	636	764	32	669	736	204	498	Thymidine phosphorylase precursor (EC 2.4.2.4) (TdRPase) (TP) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (Gliostatin). [Source:Uniprot/SWISSPROT;Acc:P19971]
NM_024105	916	86	829	749	300	939	984	964	174	87	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6- mannosyltransferase (EC 2.4.1.-) (Mannosyltransferase ALG12 homolog) (hALG12) (Membrane protein SB87). [Source:Uniprot/SWISSPROT;Acc:Q9BV10]
NM_000185	237	86	257	235	401	397	35	409	426	462	Heparin cofactor II precursor (HC-II) (Protease inhibitor leuserpin 2) (HLS2). [Source:Uniprot/SWISSPROT;Acc:P05546]
NM_020530	65	688	329	971	569	42	807	513	232	551	Oncostatin M precursor (OSM). [Source:Uniprot/SWISSPROT;Acc:P13725]
NM_182486	702	813	619	793	965	467	104	676	279	693	Complement C1q tumor necrosis factor-related protein 6 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9BXI9]
NM_003932	722	505	996	152	858	550	544	341	163	911	Hsc70-interacting protein (Hip) (Putative tumor suppressor ST13) (Progesterone receptor-associated p48 protein). [Source:Uniprot/SWISSPROT;Acc:P50502]
NM_138415	962	622	618	953	718	387	147	99	470	414	PHD finger protein 21B [Source:RefSeq_peptide;Acc:NP_612424]
NM_014303	684	247	913	930	101	616	386	422	905	281	Pescadillo homolog 1. [Source:Uniprot/SWISSPROT;Acc:O00541]
NM_001002910	391	725	105	188	661	408	163	931	968	6	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (P450-DB1) (Debrisoquine 4-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:P10635]
NM_019843	433	68	290	122	985	259	527	922	237	9	Eukaryotic translation initiation factor 4E transporter (eIF4E transporter) (4E-T) (Eukaryotic translation initiation factor 4E nuclear import factor 1). [Source:Uniprot/SWISSPROT;Acc:Q9NRA8]
NM_024053	395	65	285	295	668	603	345	860	429	861	Proliferation associated nuclear element protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9NSP4]
NM_019103	222	451	470	856	186	791	513	264	195	555	zinc finger, matrin type 5 [Source:RefSeq_peptide;Acc:NP_001003692]
NM_003277	395	478	842	139	888	786	951	508	298	198	Claudin-5 (Transmembrane protein deleted in VCFS) (TMDVCF). [Source:Uniprot/SWISSPROT;Acc:O00501]
NM_174977	221	883	501	954	824	576	579	245	364	737	SEC14-like protein 4 (Tocopherol-associated protein 3). [Source:Uniprot/SWISSPROT;Acc:Q9UDX3]
NM_030807	709	182	102	293	450	536	863	877	112	283	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (Glucose transporter type 10). [Source:Uniprot/SWISSPROT;Acc:Q9BYW1]
NM_001886	510	2	327	496	418	288	512	592	828	9	Beta crystallin A4 (Beta-A4-crystallin). [Source:Uniprot/SWISSPROT;Acc:P53673]
NM_145733	354	496	509	736	992	722	624	375	42	925	Neuronal-specific septin-3. [Source:Uniprot/SWISSPROT;Acc:Q9UH03]
NM_004327	200	363	124	944	125	319	45	873	61	915	Breakpoint cluster region protein (EC 2.7.1.-). [Source:Uniprot/SWISSPROT;Acc:P11274]
NM_021916	303	188	196	262	51	456	221	586	200	675	Zinc finger protein 70 (Zinc finger protein N27C7-1). [Source:Uniprot/SWISSPROT;Acc:Q9UC06]
NM_001017528	461	477	799	752	545	490	350	170	537	382	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_182810	230	367	931	763	853	859	400	447	750	632	Cyclic-AMP-dependent transcription factor ATF-4 (Activating transcription factor 4) (DNA-binding protein TAXREB67) (Cyclic AMP response element-binding protein 2) (CREB2). [Source:Uniprot/SWISSPROT;Acc:P18848]
NM_004175	739	281	208	855	870	729	630	413	343	9	Small nuclear ribonucleoprotein Sm D3 (snRNP core protein D3) (Sm-D3). [Source:Uniprot/SWISSPROT;Acc:P62318]
NM_005243	273	327	227	33	520	557	801	975	342	252	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein). [Source:Uniprot/SWISSPROT;Acc:Q01844]
NM_181832	948	697	100	954	661	867	357	796	571	2	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_181335	842	233	887	255	235	317	683	205	912	76	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_001013436	905	439	330	994	33	206	185	159	783	923	3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2) (MST). [Source:Uniprot/SWISSPROT;Acc:P25325]
NM_053004	13	80	771	824	389	721	531	510	376	782	Guanine nucleotide-binding protein beta subunit-like protein 1 (G protein beta subunit-like protein 1) (WD40 repeat containing protein deleted in VCFS) (WDVCF protein) (DGCRK3). [Source:Uniprot/SWISSPROT;Acc:Q9BYB4]
NM_080646	809	713	379	751	525	26	69	765	315	897	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T- box protein). [Source:Uniprot/SWISSPROT;Acc:O43435]
NM_144704	526	809	61	668	255	281	318	928	241	464	apoptosis-inducing factor like isoform 1 [Source:RefSeq_peptide;Acc:NP_653305]
NM_001017530	28	977	690	922	453	672	617	363	708	435	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_176874	934	998	821	718	199	920	706	687	679	545	Sulfotransferase 4A1 (EC 2.8.2.-) (Brain sulfotransferase-like protein) (hBR-STL) (hBR-STL-1) (Nervous system sulfotransferase) (NST). [Source:Uniprot/SWISSPROT;Acc:Q9BR01]
NM_033386	979	418	880	635	997	390	210	948	51	540	Molecule interacting with Rab13 (MIRab13) (MICAL-like protein 1). [Source:Uniprot/SWISSPROT;Acc:Q8N3F8]
NM_172002	918	32	103	683	983	201	971	558	83	230	Co-chaperone protein HscB, mitochondrial precursor (Hsc20). [Source:Uniprot/SWISSPROT;Acc:Q8IWL3]
NM_138993	393	291	334	782	840	561	924	129	512	239	Mitogen-activated protein kinase 11 (EC 2.7.1.37) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (p38-2) (Stress- activated protein kinase 2). [Source:Uniprot/SWISSPROT;Acc:Q15759]
NM_052880	314	157	417	788	166	231	927	206	640	911	HGFL protein [Source:RefSeq_peptide;Acc:NP_443112]
NM_006071	735	788	228	80	606	496	780	499	836	206	Polycystic kidney disease and receptor for egg jelly related protein precursor (PKD and REJ homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NTG1]
NM_005877	869	327	818	633	162	629	634	191	954	422	Splicing factor 3 subunit 1 (Spliceosome associated protein 114) (SAP 114) (SF3a120). [Source:Uniprot/SWISSPROT;Acc:Q15459]
NM_145731	58	588	504	262	905	433	355	932	100	626	Synaptogyrin-1. [Source:Uniprot/SWISSPROT;Acc:O43759]
NM_003661	270	242	401	825	962	481	169	773	253	552	Apolipoprotein-L1 precursor (Apolipoprotein L-I) (Apolipoprotein L) (ApoL-I) (Apo-L) (ApoL). [Source:Uniprot/SWISSPROT;Acc:O14791]
NM_134270	86	744	836	317	246	921	285	189	501	963	Smoothelin. [Source:Uniprot/SWISSPROT;Acc:P53814]
NM_181492	473	501	491	548	62	673	249	186	200	728	Transcription factor 20 (Stromelysin 1 PDGF-responsive element-binding protein) (SPRE-binding protein) (Nuclear factor SPBP) (AR1). [Source:Uniprot/SWISSPROT;Acc:Q9UGU0]
NM_001127	794	63	108	171	614	210	694	765	452	782	Adapter-related protein complex 1 beta 1 subunit (Beta-adaptin 1) (Adaptor protein complex AP-1 beta-1 subunit) (Golgi adaptor HA1/AP1 adaptin beta subunit) (Clathrin assembly protein complex 1 beta large chain). [Source:Uniprot/SWISSPROT;Acc:Q10567]
